1,TV조선,미스터트롯3-2부,13.977
2,TV조선,미스터트롯3-3부,13.357
3,TV조선,미스터트롯3-1부,11.750
4,JTBC,이혼숙려캠프,4.469
5,JTBC,JTBC뉴스룸,3.552
6,TV조선,TV조선뉴스9,3.404
7,MBN,특종세상,2.730
8,JTBC,사건반장,2.675
9,MBN,김명준의뉴스파이터,2.322
10,채널A,뉴스A,2.173
