1,KBS1,일일드라마(결혼하자맹꽁아),11.8,2024.10.17
2,KBS2,일일드라마(스캔들),8.4,2024.10.17
3,KBS1,KBS9시뉴스,7.6,2024.10.17
4,MBC,MBC스포츠KBO리그(삼성:LG),7.5,2024.10.17
5,KBS1,인간극장,7.0,2024.10.17
6,KBS1,아침마당,5.7,2024.10.17
7,KBS1,6시내고향,5.6,2024.10.17
8,KBS1,한국인의밥상,5.2,2024.10.17
9,KBS2,2TV생생정보,4.9,2024.10.17
9,KBS1,KBS뉴스광장2부,4.9,2024.10.17
11,SBS,와진짜세상에이런일이,4.7,2024.10.17
12,KBS2,수목드라마(개소리),4.3,2024.10.17
13,SBS,SBS8뉴스,4.2,2024.10.17
14,KBS1,KBS뉴스7,4.1,2024.10.17
15,KBS1,KBS뉴스930,3.5,2024.10.17
16,MBC,MBC뉴스데스크,3.3,2024.10.17
17,SBS,꼬리에꼬리를무는그날이야기,3.2,2024.10.17
18,KBS2,박원숙의같이삽시다,3.1,2024.10.17
19,MBC,연금복권720플러스,3.0,2024.10.17
20,KBS1,다큐인사이트(오리엄청나게시끄럽고믿을수없게맛있는),2.9,2024.10.17
