1,KBS2,주말드라마(독수리5형제를부탁해),19.6,2025.03.09
2,SBS,미운우리새끼다시쓰는육아일기,12.7,2025.03.09
3,KBS2,1박2일,8.1,2025.03.09
4,KBS1,전국노래자랑,6.6,2025.03.09
5,MBC,MBC뉴스데스크,6.1,2025.03.09
6,SBS,TV동물농장,5.3,2025.03.09
7,KBS1,KBS9시뉴스,5.1,2025.03.09
8,KBS2,사장님귀는당나귀귀,5.0,2025.03.09
9,MBC,탐사기획스트레이트,4.1,2025.03.09
10,KBS1,KBS뉴스(12:00),4.0,2025.03.09
11,MBC,미스터리음악쇼복면가왕,3.9,2025.03.09
11,SBS,런닝맨,3.9,2025.03.09
11,KBS1,특파원보고세계는지금<재>,3.9,2025.03.09
14,SBS,SBS8뉴스,3.6,2025.03.09
15,KBS1,공사창립특집리더,3.5,2025.03.09
16,KBS2,살림하는남자들<재>,3.4,2025.03.09
17,KBS1,KBS뉴스(19:00),3.1,2025.03.09
18,MBC,굿데이,3.0,2025.03.09
18,KBS1,일요진단라이브,3.0,2025.03.09
18,KBS1,동네한바퀴<재>,3.0,2025.03.09
