1,KBS1,일일드라마(결혼하자맹꽁아),13.3,2025.01.14
2,KBS2,일일드라마(신데렐라게임),11.4,2025.01.14
3,MBC,MBC뉴스데스크,9.4,2025.01.14
4,KBS1,인간극장,7.9,2025.01.14
5,KBS1,KBS9시뉴스,7.7,2025.01.14
6,KBS1,아침마당,7.2,2025.01.14
7,KBS1,6시내고향,6.7,2025.01.14
8,MBC,일일드라마(친절한선주씨),5.8,2025.01.14
9,SBS,신발벗고돌싱포맨,5.1,2025.01.14
10,KBS2,2TV생생정보,4.9,2025.01.14
11,KBS1,KBS뉴스930,4.8,2025.01.14
11,KBS1,KBS뉴스7,4.8,2025.01.14
13,KBS1,KBS뉴스광장2부,4.1,2025.01.14
14,KBS1,이웃집찰스,3.9,2025.01.14
15,KBS1,시사기획창,3.6,2025.01.14
16,KBS1,동물의왕국,3.4,2025.01.14
17,SBS,SBS8뉴스,3.2,2025.01.14
17,KBS1,KBS뉴스5,3.2,2025.01.14
19,MBC,MBC뉴스투데이2부,2.8,2025.01.14
20,MBC,선을넘는클래스,2.7,2025.01.14
