1,KBS2,주말드라마(독수리5형제를부탁해),16.8,2025.02.02
2,SBS,미운우리새끼다시쓰는육아일기,12.6,2025.02.02
3,KBS2,1박2일,8.8,2025.02.02
4,KBS1,전국노래자랑,7.5,2025.02.02
5,MBC,MBC뉴스데스크,7.1,2025.02.02
6,KBS1,KBS뉴스(12:00),6.1,2025.02.02
7,SBS,TV동물농장,5.8,2025.02.02
8,KBS2,사장님귀는당나귀귀,5.7,2025.02.02
9,MBC,미스터리음악쇼복면가왕,5.1,2025.02.02
10,KBS1,KBS9시뉴스,5.0,2025.02.02
11,MBC,질문들스페셜,4.8,2025.02.02
12,SBS,런닝맨,4.6,2025.02.02
13,MBC,무빙,4.4,2025.02.02
14,KBS1,글로벌한인기행김영철이간다2부<재>,4.3,2025.02.02
15,KBS1,동네한바퀴<재>,4.1,2025.02.02
16,KBS1,이슈PICK쌤과함께,4.0,2025.02.02
17,KBS2,살림하는남자들<재>,3.9,2025.02.02
18,SBS,SBS8뉴스,3.7,2025.02.02
19,KBS1,특파원보고세계는지금<재>,3.4,2025.02.02
20,MBC,출발비디오여행,3.2,2025.02.02
