1,KBS1,일일드라마(결혼하자맹꽁아),14.4,2025.02.28
2,KBS2,일일드라마(신데렐라게임),11.2,2025.02.28
3,SBS,금토드라마(보물섬),8.8,2025.02.28
4,KBS1,인간극장,8.1,2025.02.28
5,MBC,나혼자산다,7.4,2025.02.28
6,KBS1,KBS9시뉴스,7.3,2025.02.28
7,KBS1,아침마당,7.1,2025.02.28
8,MBC,MBC뉴스데스크,6.9,2025.02.28
9,MBC,금토드라마(언더커버하이스쿨),6.6,2025.02.28
10,MBC,일일드라마(친절한선주씨),5.9,2025.02.28
11,KBS1,6시내고향,5.3,2025.02.28
12,SBS,궁금한이야기Y,5.0,2025.02.28
13,KBS1,KBS뉴스광장2부,4.7,2025.02.28
14,KBS1,KBS뉴스930,4.1,2025.02.28
14,KBS1,KBS뉴스7,4.1,2025.02.28
16,KBS2,2TV생생정보,4.0,2025.02.28
17,KBS2,신상출시편스토랑,3.8,2025.02.28
18,MBC,금토드라마(언더커버하이스쿨<재>),2.8,2025.02.28
18,SBS,모닝와이드3부,2.8,2025.02.28
18,KBS1,박원숙의같이삽시다스페셜,2.8,2025.02.28
