1,KBS1,일일드라마(결혼하자맹꽁아),11.6,2024.11.07
2,KBS2,일일드라마(스캔들),8.0,2024.11.07
3,KBS1,인간극장,7.3,2024.11.07
3,KBS1,KBS9시뉴스,7.3,2024.11.07
3,MBC,MBC뉴스데스크,7.3,2024.11.07
6,MBC,일일드라마(용감무쌍용수정),6.2,2024.11.07
7,KBS1,아침마당,6.1,2024.11.07
8,KBS1,6시내고향,5.8,2024.11.07
9,KBS1,한국인의밥상,5.3,2024.11.07
10,MBC,실화탐사대,4.9,2024.11.07
11,KBS1,KBS뉴스광장2부,4.6,2024.11.07
12,KBS1,KBS뉴스930,4.5,2024.11.07
13,KBS1,KBS뉴스7,4.2,2024.11.07
14,KBS2,박원숙의같이삽시다,4.1,2024.11.07
15,KBS1,윤석열대통령대국민담화및기자회견,3.7,2024.11.07
15,KBS2,2TV생생정보,3.7,2024.11.07
17,KBS1,다큐인사이트(2024미국의선택다시트럼프),3.5,2024.11.07
18,SBS,SBS8뉴스,3.1,2024.11.07
18,KBS2,수목드라마(페이스미),3.1,2024.11.07
20,SBS,와진짜세상에이런일이,3.0,2024.11.07
