1,KBS1,일일드라마(수지맞은우리),14.8,2024.09.25
2,KBS2,일일드라마(스캔들),8.3,2024.09.25
3,KBS1,인간극장,8.1,2024.09.25
4,KBS1,KBS9시뉴스,7.7,2024.09.25
5,KBS1,아침마당,7.3,2024.09.25
6,KBS1,6시내고향,5.3,2024.09.25
7,MBC,MBC뉴스데스크,5.2,2024.09.25
7,MBC,일일드라마(용감무쌍용수정),5.2,2024.09.25
7,KBS1,KBS뉴스광장2부,5.2,2024.09.25
10,SBS,골때리는그녀들세계관의확장,5.1,2024.09.25
11,KBS2,수목드라마(개소리),4.2,2024.09.25
12,KBS1,KBS뉴스930,3.8,2024.09.25
13,KBS1,생로병사의비밀,3.7,2024.09.25
14,SBS,SBS8뉴스,3.6,2024.09.25
15,KBS2,2TV생생정보,3.5,2024.09.25
15,KBS1,우리집금송아지,3.5,2024.09.25
15,KBS1,KBS뉴스7,3.5,2024.09.25
18,MBC,황금어장라디오스타,3.3,2024.09.25
19,KBS1,KBS뉴스광장1부,2.7,2024.09.25
20,KBS1,KBS뉴스5,2.6,2024.09.25
