1,KBS1,일일드라마(결혼하자맹꽁아),10.6,2024.10.23
2,KBS1,인간극장,8.0,2024.10.23
3,KBS2,KBS스포츠KBO리그(삼성:KIA),7.3,2024.10.23
3,KBS1,KBS9시뉴스,7.3,2024.10.23
5,KBS1,아침마당,7.2,2024.10.23
6,MBC,MBC뉴스데스크,5.9,2024.10.23
7,MBC,일일드라마(용감무쌍용수정),5.5,2024.10.23
8,KBS1,KBS뉴스광장2부,5.2,2024.10.23
9,SBS,골때리는그녀들세계관의확장,5.0,2024.10.23
10,KBS1,6시내고향,4.9,2024.10.23
11,MBC,황금어장라디오스타,4.7,2024.10.23
12,KBS1,KBS뉴스7,4.6,2024.10.23
13,KBS1,KBS뉴스930,4.4,2024.10.23
14,MBC,MBC스포츠KBO리그(삼성:KIA),4.2,2024.10.23
15,KBS1,바른우리말사랑우리집금송아지,4.1,2024.10.23
16,SBS,SBS8뉴스,3.9,2024.10.23
17,KBS2,수목드라마(개소리),3.8,2024.10.23
18,KBS1,생로병사의비밀,3.5,2024.10.23
19,KBS1,무엇이든물어보세요<재>,2.7,2024.10.23
20,MBC,짠남자,2.5,2024.10.23
