1,KBS1,일일드라마(결혼하자맹꽁아),14.1,2025.02.25
2,KBS2,일일드라마(신데렐라게임),11.3,2025.02.25
3,KBS1,인간극장,8.4,2025.02.25
3,MBC,MBC뉴스데스크,8.4,2025.02.25
5,KBS1,아침마당,7.3,2025.02.25
6,KBS1,KBS9시뉴스,6.9,2025.02.25
7,MBC,일일드라마(친절한선주씨),6.4,2025.02.25
8,MBC,질문들,6.1,2025.02.25
8,KBS1,6시내고향,6.1,2025.02.25
10,KBS1,KBS뉴스광장2부,4.7,2025.02.25
11,KBS1,KBS뉴스특보,4.4,2025.02.25
12,KBS2,2TV생생정보,4.3,2025.02.25
12,SBS,신발벗고돌싱포맨,4.3,2025.02.25
14,KBS1,KBS뉴스930,4.2,2025.02.25
15,SBS,SBS8뉴스,4.0,2025.02.25
16,KBS1,이웃집찰스,3.1,2025.02.25
17,KBS1,동물의왕국,2.8,2025.02.25
18,KBS1,KBS뉴스특보,2.7,2025.02.25
19,SBS,모닝와이드3부,2.6,2025.02.25
20,MBC,MBC뉴스투데이2부,2.4,2025.02.25
