1,KBS1,일일드라마(수지맞은우리),14.0,2024.08.13
2,KBS1,인간극장,8.6,2024.08.13
3,KBS2,일일드라마(스캔들),8.1,2024.08.13
4,KBS1,KBS9시뉴스,8.0,2024.08.13
5,KBS1,아침마당,6.3,2024.08.13
6,SBS,신발벗고돌싱포맨,5.5,2024.08.13
7,KBS1,KBS뉴스광장2부,5.3,2024.08.13
7,MBC,일일드라마(용감무쌍용수정),5.3,2024.08.13
9,KBS1,6시내고향,5.2,2024.08.13
10,MBC,MBC뉴스데스크,4.8,2024.08.13
11,SBS,SBS8뉴스,3.9,2024.08.13
12,KBS1,이웃집찰스,3.8,2024.08.13
13,SBS,정글밥바누아투,3.7,2024.08.13
13,KBS2,2TV생생정보,3.7,2024.08.13
15,KBS1,KBS뉴스930,3.4,2024.08.13
15,KBS1,KBS뉴스광장1부,3.4,2024.08.13
17,KBS1,KBS뉴스7,3.0,2024.08.13
18,MBC,PD수첩,2.9,2024.08.13
19,KBS1,KBS뉴스12,2.7,2024.08.13
19,SBS,모닝와이드3부,2.7,2024.08.13
