1,KBS1,일일드라마(수지맞은우리),14.3,2024.09.23
2,KBS2,일일드라마(스캔들),8.4,2024.09.23
2,KBS1,KBS9시뉴스,8.4,2024.09.23
4,KBS1,인간극장,8.1,2024.09.23
5,MBC,일일드라마(용감무쌍용수정),6.5,2024.09.23
6,KBS1,가요무대,6.3,2024.09.23
7,MBC,MBC뉴스데스크,6.0,2024.09.23
8,KBS1,6시내고향,5.7,2024.09.23
9,MBC,푹쉬면다행이야,5.5,2024.09.23
10,KBS1,KBS뉴스광장2부,5.1,2024.09.23
10,KBS1,아침마당,5.1,2024.09.23
12,KBS1,우리말겨루기,4.3,2024.09.23
13,SBS,동상이몽2너는내운명,4.2,2024.09.23
14,SBS,SBS8뉴스,3.8,2024.09.23
15,KBS2,2TV생생정보,3.7,2024.09.23
15,KBS1,KBS뉴스7,3.7,2024.09.23
17,KBS1,KBS뉴스930,3.2,2024.09.23
18,KBS1,KBS뉴스광장1부,2.7,2024.09.23
19,KBS1,뉴스라인W,2.5,2024.09.23
20,KBS1,KBS뉴스5,2.4,2024.09.23
