1,KBS2,주말드라마(독수리5형제를부탁해),19.2,2025.03.02
2,SBS,미운우리새끼다시쓰는육아일기,13.6,2025.03.02
3,KBS2,1박2일,8.3,2025.03.02
4,MBC,MBC뉴스데스크,7.3,2025.03.02
5,KBS1,전국노래자랑,6.1,2025.03.02
6,KBS1,KBS9시뉴스,5.9,2025.03.02
7,KBS2,사장님귀는당나귀귀,5.3,2025.03.02
8,SBS,TV동물농장,5.1,2025.03.02
9,MBC,탐사기획스트레이트,4.9,2025.03.02
10,SBS,런닝맨,4.5,2025.03.02
11,KBS1,KBS뉴스(12:00),4.3,2025.03.02
12,MBC,미스터리음악쇼복면가왕,4.2,2025.03.02
13,MBC,굿데이,3.9,2025.03.02
14,SBS,SBS8뉴스,3.7,2025.03.02
15,KBS1,KBS뉴스(19:00),3.5,2025.03.02
15,KBS1,이슈PICK쌤과함께,3.5,2025.03.02
17,KBS1,동네한바퀴<재>,3.2,2025.03.02
17,KBS2,살림하는남자들<재>,3.2,2025.03.02
19,KBS1,열린음악회공사창립,3.1,2025.03.02
19,KBS1,일요진단라이브,3.1,2025.03.02
