1,KBS1,일일드라마(수지맞은우리),14.6,2024.09.02
2,KBS2,일일드라마(스캔들),8.9,2024.09.02
3,KBS1,인간극장,8.6,2024.09.02
4,KBS1,KBS9시뉴스,8.1,2024.09.02
5,MBC,일일드라마(용감무쌍용수정),6.5,2024.09.02
6,KBS1,아침마당,6.4,2024.09.02
7,MBC,푹쉬면다행이야,5.8,2024.09.02
8,MBC,MBC뉴스데스크,5.7,2024.09.02
9,KBS1,6시내고향,5.1,2024.09.02
9,KBS1,가요무대,5.1,2024.09.02
11,KBS1,KBS뉴스광장2부,5.0,2024.09.02
12,KBS1,우리말겨루기여름방학특집4부,4.7,2024.09.02
13,SBS,생활의달인,3.9,2024.09.02
14,KBS1,KBS뉴스7,3.6,2024.09.02
15,SBS,SBS8뉴스,3.5,2024.09.02
15,SBS,동상이몽2너는내운명,3.5,2024.09.02
17,KBS1,KBS뉴스930,3.2,2024.09.02
17,KBS2,2TV생생정보,3.2,2024.09.02
19,KBS1,KBS뉴스광장1부,2.7,2024.09.02
19,SBS,모닝와이드3부,2.7,2024.09.02
