1,KBS1,일일드라마(결혼하자맹꽁아),12.7,2025.03.18
2,KBS1,인간극장,8.7,2025.03.18
3,MBC,MBC뉴스데스크,7.6,2025.03.18
4,KBS1,KBS9시뉴스,7.1,2025.03.18
5,KBS1,아침마당,6.8,2025.03.18
6,MBC,일일드라마(친절한선주씨),6.2,2025.03.18
7,KBS1,6시내고향,5.8,2025.03.18
8,KBS1,KBS뉴스광장2부,5.1,2025.03.18
9,KBS1,KBS뉴스930,5.0,2025.03.18
10,SBS,신발벗고돌싱포맨,4.9,2025.03.18
11,MBC,질문들,4.8,2025.03.18
12,KBS1,KBS뉴스7,4.2,2025.03.18
13,KBS1,이웃집찰스,4.0,2025.03.18
14,MBC,PD수첩,3.9,2025.03.18
15,SBS,SBS8뉴스,3.8,2025.03.18
16,KBS1,시사기획창,2.8,2025.03.18
17,MBC,MBC뉴스투데이2부,2.7,2025.03.18
17,KBS1,KBS뉴스5,2.7,2025.03.18
17,SBS,모닝와이드3부,2.7,2025.03.18
20,KBS1,무엇이든물어보세요<재>,2.6,2025.03.18
