1,KBS1,일일드라마(결혼하자맹꽁아),14.3,2025.03.31
2,KBS2,일일드라마(신데렐라게임),11.0,2025.03.31
3,KBS1,인간극장,8.0,2025.03.31
4,KBS1,KBS9시뉴스,7.8,2025.03.31
5,MBC,MBC뉴스데스크,6.8,2025.03.31
6,KBS1,아침마당,6.2,2025.03.31
7,KBS1,가요무대,5.8,2025.03.31
8,MBC,일일드라마(친절한선주씨),5.6,2025.03.31
9,MBC,푹쉬면다행이야,5.0,2025.03.31
9,KBS1,KBS뉴스광장2부,5.0,2025.03.31
11,KBS1,우리말겨루기,4.6,2025.03.31
12,SBS,동상이몽2너는내운명,4.5,2025.03.31
13,KBS1,KBS뉴스930,4.1,2025.03.31
14,SBS,SBS8뉴스,3.6,2025.03.31
15,KBS2,2TV생생정보,3.5,2025.03.31
15,KBS1,KBS뉴스7,3.5,2025.03.31
17,MBC,MBC뉴스투데이2부,3.1,2025.03.31
17,SBS,생활의달인,3.1,2025.03.31
19,KBS1,특별산불피해함께이겨냅시다2부,3.0,2025.03.31
20,KBS1,뉴스라인W,2.9,2025.03.31
