1,KBS1,일일드라마(결혼하자맹꽁아),13.6,2025.03.14
2,KBS2,일일드라마(신데렐라게임),11.2,2025.03.14
3,SBS,금토드라마(보물섬),10.9,2025.03.14
4,KBS1,인간극장,8.0,2025.03.14
5,KBS1,KBS9시뉴스,7.2,2025.03.14
6,MBC,금토드라마(언더커버하이스쿨),6.8,2025.03.14
7,MBC,나혼자산다,6.5,2025.03.14
8,KBS1,아침마당,6.4,2025.03.14
9,MBC,MBC뉴스데스크,6.3,2025.03.14
10,MBC,일일드라마(친절한선주씨),5.4,2025.03.14
11,KBS1,6시내고향,4.8,2025.03.14
12,KBS1,KBS뉴스광장2부,4.7,2025.03.14
13,SBS,궁금한이야기Y,4.4,2025.03.14
14,KBS1,KBS뉴스7,4.0,2025.03.14
14,KBS2,신상출시편스토랑,4.0,2025.03.14
16,MBC,금토드라마(언더커버하이스쿨<재>),3.4,2025.03.14
17,KBS2,2TV생생정보,3.3,2025.03.14
18,KBS1,KBS뉴스930,3.0,2025.03.14
18,KBS1,박원숙의같이삽시다스페셜,3.0,2025.03.14
20,SBS,SBS8뉴스,2.7,2025.03.14
