1,KBS1,일일드라마(결혼하자맹꽁아),12.0,2024.12.18
2,MBC,MBC뉴스데스크,9.0,2024.12.18
3,KBS2,일일드라마(신데렐라게임),8.7,2024.12.18
4,KBS1,아침마당,7.9,2024.12.18
5,KBS1,인간극장,7.8,2024.12.18
6,KBS1,KBS9시뉴스,7.4,2024.12.18
7,KBS1,6시내고향,6.7,2024.12.18
8,SBS,골때리는그녀들,4.8,2024.12.18
9,KBS1,KBS뉴스930,4.6,2024.12.18
10,KBS2,2TV생생정보,4.4,2024.12.18
11,MBC,일일드라마(친절한선주씨),4.3,2024.12.18
12,KBS1,KBS뉴스광장2부,4.2,2024.12.18
12,KBS1,KBS뉴스7,4.2,2024.12.18
14,KBS2,수목드라마(수상한그녀),3.9,2024.12.18
15,MBC,황금어장라디오스타,3.8,2024.12.18
16,KBS1,생로병사의비밀,3.7,2024.12.18
17,MBC,시골마을이장우,3.4,2024.12.18
17,KBS2,수목드라마(수상한그녀),3.4,2024.12.18
19,KBS1,동물의왕국<재>,3.3,2024.12.18
20,SBS,SBS8뉴스,3.1,2024.12.18
