1,KBS1,일일드라마(수지맞은우리),14.4,2024.08.27
2,KBS1,인간극장,9.0,2024.08.27
3,KBS2,일일드라마(스캔들),8.0,2024.08.27
4,KBS1,KBS9시뉴스,7.9,2024.08.27
5,MBC,일일드라마(용감무쌍용수정),6.0,2024.08.27
6,KBS1,아침마당,5.9,2024.08.27
7,KBS1,KBS뉴스광장2부,5.8,2024.08.27
8,KBS1,6시내고향,5.3,2024.08.27
8,KBS1,이웃집찰스,5.3,2024.08.27
10,SBS,신발벗고돌싱포맨,5.1,2024.08.27
11,MBC,MBC뉴스데스크,5.0,2024.08.27
12,SBS,정글밥바누아투,4.0,2024.08.27
13,SBS,SBS8뉴스,3.4,2024.08.27
13,KBS1,KBS뉴스930,3.4,2024.08.27
15,KBS2,2TV생생정보,3.3,2024.08.27
16,KBS1,KBS뉴스7,3.1,2024.08.27
17,KBS1,KBS뉴스광장1부,3.0,2024.08.27
18,SBS,모닝와이드3부,2.6,2024.08.27
19,KBS1,시사기획창,2.4,2024.08.27
20,MBC,PD수첩,2.3,2024.08.27
