1,KBS1,일일드라마(결혼하자맹꽁아),11.5,2024.12.09
2,MBC,MBC뉴스데스크,10.9,2024.12.09
3,MBC,특집PD수첩,8.2,2024.12.09
4,KBS2,일일드라마(신데렐라게임),8.1,2024.12.09
5,KBS1,인간극장,7.9,2024.12.09
6,KBS1,KBS9시뉴스,7.2,2024.12.09
7,KBS1,6시내고향,7.0,2024.12.09
8,KBS1,아침마당,6.4,2024.12.09
9,KBS1,우리말겨루기연말특집최강자전본선2차전,5.2,2024.12.09
10,KBS1,KBS뉴스7,4.9,2024.12.09
11,KBS1,가요무대,4.6,2024.12.09
12,KBS2,2TV생생정보,4.3,2024.12.09
13,KBS1,KBS뉴스광장2부,4.1,2024.12.09
13,SBS,동상이몽2너는내운명,4.1,2024.12.09
15,SBS,SBS8뉴스,4.0,2024.12.09
15,SBS,생활의달인,4.0,2024.12.09
17,MBC,MBC뉴스특보,3.9,2024.12.09
18,KBS1,KBS뉴스930,3.8,2024.12.09
18,MBC,일일드라마(친절한선주씨),3.8,2024.12.09
20,KBS1,팔도밥상스페셜<재>,3.7,2024.12.09
