1,KBS1,일일드라마(수지맞은우리),14.8,2024.09.12
2,KBS1,인간극장,8.9,2024.09.12
3,KBS2,일일드라마(스캔들),8.7,2024.09.12
4,KBS1,KBS9시뉴스,7.5,2024.09.12
5,KBS1,아침마당,6.3,2024.09.12
5,MBC,일일드라마(용감무쌍용수정),6.3,2024.09.12
7,KBS1,KBS뉴스광장2부,5.6,2024.09.12
8,MBC,MBC뉴스데스크,5.2,2024.09.12
8,KBS1,6시내고향,5.2,2024.09.12
8,KBS1,한국인의밥상,5.2,2024.09.12
11,SBS,꼬리에꼬리를무는그날이야기,4.3,2024.09.12
11,MBC,실화탐사대,4.3,2024.09.12
13,KBS2,2TV생생정보,4.0,2024.09.12
14,KBS2,박원숙의같이삽시다,3.8,2024.09.12
15,SBS,과몰입인생사2,3.7,2024.09.12
16,SBS,SBS8뉴스,3.5,2024.09.12
17,MBC,구해줘홈즈,3.4,2024.09.12
18,KBS1,KBS뉴스930,3.3,2024.09.12
18,KBS1,KBS뉴스7,3.3,2024.09.12
20,KBS1,KBS뉴스광장1부,2.8,2024.09.12
