1,KBS1,일일드라마(결혼하자맹꽁아),11.8,2024.10.16
2,KBS2,일일드라마(스캔들),9.0,2024.10.16
3,KBS1,KBS9시뉴스,8.1,2024.10.16
4,KBS1,인간극장,7.5,2024.10.16
5,KBS1,아침마당,7.4,2024.10.16
6,MBC,MBC뉴스데스크,6.8,2024.10.16
7,MBC,일일드라마(용감무쌍용수정),6.7,2024.10.16
8,KBS1,6시내고향,5.5,2024.10.16
9,SBS,골때리는그녀들세계관의확장,5.0,2024.10.16
10,KBS1,KBS뉴스광장2부,4.6,2024.10.16
11,KBS1,KBS뉴스930,4.3,2024.10.16
12,SBS,SBS8뉴스,4.0,2024.10.16
12,KBS2,2TV생생정보,4.0,2024.10.16
12,KBS1,생로병사의비밀,4.0,2024.10.16
12,KBS1,KBS뉴스7,4.0,2024.10.16
16,KBS2,수목드라마(개소리),3.9,2024.10.16
16,MBC,황금어장라디오스타,3.9,2024.10.16
18,KBS1,우리집금송아지,3.6,2024.10.16
19,KBS2,살림하는남자들<재>,3.4,2024.10.16
20,SBS,모닝와이드3부,2.7,2024.10.16
