1,SBS,금토드라마(굿파트너),15.7,2024.09.13
2,KBS1,일일드라마(수지맞은우리),14.4,2024.09.13
3,KBS2,일일드라마(스캔들),9.4,2024.09.13
4,KBS1,인간극장,8.2,2024.09.13
5,KBS1,KBS9시뉴스,7.9,2024.09.13
6,MBC,나혼자산다,7.4,2024.09.13
7,MBC,금토드라마(백설공주에게죽음을),6.5,2024.09.13
7,MBC,MBC뉴스데스크,6.5,2024.09.13
9,KBS1,아침마당,6.3,2024.09.13
10,KBS1,KBS뉴스광장2부,5.8,2024.09.13
11,MBC,일일드라마(용감무쌍용수정),5.7,2024.09.13
12,KBS1,6시내고향,5.0,2024.09.13
13,SBS,궁금한이야기Y,4.9,2024.09.13
14,KBS2,신상출시편스토랑,4.3,2024.09.13
15,KBS1,KBS뉴스7,4.1,2024.09.13
16,KBS2,2TV생생정보,3.6,2024.09.13
17,KBS1,KBS뉴스930,3.5,2024.09.13
18,SBS,SBS8뉴스,3.4,2024.09.13
19,KBS1,SINCE1983추적60분,3.2,2024.09.13
20,MBC,오늘N,2.9,2024.09.13
