1,KBS1,일일드라마(수지맞은우리),13.5,2024.08.12
2,KBS1,KBS9시뉴스,8.5,2024.08.12
3,KBS1,인간극장,8.4,2024.08.12
4,KBS2,일일드라마(스캔들),7.6,2024.08.12
5,KBS1,아침마당,6.7,2024.08.12
6,MBC,MBC뉴스데스크,6.5,2024.08.12
7,MBC,푹쉬면다행이야,6.1,2024.08.12
8,KBS1,KBS뉴스광장,6.0,2024.08.12
9,MBC,일일드라마(용감무쌍용수정),5.8,2024.08.12
10,KBS1,6시내고향,5.2,2024.08.12
11,KBS1,우리말겨루기여름방학특집1편,5.1,2024.08.12
12,KBS1,가요무대,5.0,2024.08.12
13,SBS,SBS8뉴스,4.3,2024.08.12
14,KBS1,KBS뉴스930,4.1,2024.08.12
14,SBS,동상이몽2너는내운명,4.1,2024.08.12
16,KBS1,KBS뉴스7,4.0,2024.08.12
17,SBS,생활의달인,3.9,2024.08.12
18,KBS2,2TV생생정보,3.4,2024.08.12
18,MBC,오은영리포트결혼지옥,3.4,2024.08.12
20,SBS,모닝와이드3부,3.0,2024.08.12
