1,KBS1,일일드라마(수지맞은우리),13.1,2024.07.03
2,KBS1,인간극장,8.2,2024.07.03
3,KBS1,아침마당,7.4,2024.07.03
3,KBS2,일일드라마(스캔들),7.4,2024.07.03
5,KBS1,KBS9시뉴스,7.1,2024.07.03
6,KBS1,KBS뉴스광장2부,5.9,2024.07.03
7,MBC,일일드라마(용감무쌍용수정),5.0,2024.07.03
8,MBC,MBC뉴스데스크,4.9,2024.07.03
9,SBS,골때리는그녀들,4.7,2024.07.03
9,KBS1,6시내고향,4.7,2024.07.03
11,KBS1,KBS뉴스930,4.2,2024.07.03
12,SBS,SBS8뉴스,3.8,2024.07.03
12,MBC,황금어장라디오스타,3.8,2024.07.03
12,KBS1,생로병사의비밀,3.8,2024.07.03
15,KBS1,우리집금송아지,3.5,2024.07.03
15,KBS1,KBS뉴스7,3.5,2024.07.03
17,KBS1,KBS뉴스광장1부,3.3,2024.07.03
18,SBS,모닝와이드3부,3.1,2024.07.03
19,KBS2,2TV생생정보,2.9,2024.07.03
20,KBS1,KBS뉴스5,2.4,2024.07.03
