1,KBS1,일일드라마(결혼하자맹꽁아),15.0,2025.03.06
2,KBS2,일일드라마(신데렐라게임),11.3,2025.03.06
3,KBS1,KBS9시뉴스,9.1,2025.03.06
4,KBS1,인간극장,8.8,2025.03.06
5,MBC,MBC뉴스데스크,8.0,2025.03.06
6,KBS1,아침마당,7.0,2025.03.06
7,MBC,일일드라마(친절한선주씨),5.9,2025.03.06
8,KBS1,6시내고향,5.4,2025.03.06
9,KBS1,KBS뉴스광장2부,5.3,2025.03.06
10,MBC,실화탐사대,4.9,2025.03.06
11,KBS1,한국인의밥상,4.6,2025.03.06
12,KBS1,KBS뉴스930,4.3,2025.03.06
13,KBS1,KBS뉴스7,4.1,2025.03.06
14,KBS2,2TV생생정보,3.8,2025.03.06
14,KBS1,다큐인사이트(공사창립기획정치란무엇인가2부),3.8,2025.03.06
16,KBS2,박원숙의같이삽시다,3.2,2025.03.06
17,SBS,SBS8뉴스,3.1,2025.03.06
18,KBS1,동물의왕국,2.7,2025.03.06
19,SBS,정글밥2페루밥,2.5,2025.03.06
19,MBC,구해줘홈즈,2.5,2025.03.06
