1,KBS2,주말드라마(미녀와순정남),18.6,2024.09.01
2,SBS,미운우리새끼다시쓰는육아일기,12.7,2024.09.01
3,KBS2,1박2일,7.8,2024.09.01
4,KBS1,전국노래자랑,6.9,2024.09.01
5,KBS1,KBS9시뉴스,6.5,2024.09.01
6,SBS,TV동물농장,5.1,2024.09.01
7,MBC,MBC뉴스데스크,4.6,2024.09.01
8,KBS2,사장님귀는당나귀귀,4.5,2024.09.01
9,MBC,미스터리음악쇼복면가왕,4.3,2024.09.01
10,KBS1,KBS뉴스(12:00),4.0,2024.09.01
10,KBS2,살림하는남자들<재>,4.0,2024.09.01
12,SBS,런닝맨,3.9,2024.09.01
13,SBS,SBS8뉴스,3.5,2024.09.01
13,KBS1,특파원보고세계는지금<재>,3.5,2024.09.01
13,KBS2,슈퍼맨이돌아왔다,3.5,2024.09.01
16,KBS1,이슈PICK쌤과함께,3.2,2024.09.01
17,MBC,태어난김에음악일주,3.1,2024.09.01
18,KBS1,KBS뉴스(19:00),3.0,2024.09.01
19,KBS2,개그콘서트,2.9,2024.09.01
20,KBS1,박원숙의같이삽시다<재>,2.8,2024.09.01
