1,KBS1,일일드라마(수지맞은우리),14.6,2024.08.20
2,KBS1,인간극장,9.2,2024.08.20
3,KBS1,KBS9시뉴스,8.9,2024.08.20
4,KBS2,일일드라마(스캔들),8.7,2024.08.20
5,KBS1,아침마당,7.2,2024.08.20
6,MBC,일일드라마(용감무쌍용수정),5.9,2024.08.20
7,KBS1,KBS뉴스광장2부,5.7,2024.08.20
7,SBS,신발벗고돌싱포맨,5.7,2024.08.20
9,KBS1,6시내고향,5.6,2024.08.20
10,MBC,MBC뉴스데스크,5.5,2024.08.20
11,KBS1,KBS뉴스930,5.0,2024.08.20
12,KBS1,KBS뉴스7,4.5,2024.08.20
13,SBS,SBS8뉴스,4.1,2024.08.20
14,KBS1,이웃집찰스,4.0,2024.08.20
15,SBS,정글밥바누아투,3.6,2024.08.20
16,KBS2,2TV생생정보,3.5,2024.08.20
17,KBS1,KBS뉴스광장1부,3.1,2024.08.20
18,KBS1,무엇이든물어보세요<재>,2.9,2024.08.20
19,KBS1,KBS뉴스5,2.7,2024.08.20
19,SBS,모닝와이드3부,2.7,2024.08.20
