1,KBS2,주말드라마(독수리5형제를부탁해),17.0,2025.03.15
2,SBS,금토드라마(보물섬),12.3,2025.03.15
3,KBS1,KBS9시뉴스,6.3,2025.03.15
4,MBC,금토드라마(언더커버하이스쿨),6.1,2025.03.15
5,KBS2,살림하는남자들,6.0,2025.03.15
5,KBS1,동네한바퀴,6.0,2025.03.15
7,SBS,그것이알고싶다,5.3,2025.03.15
8,SBS,금토드라마(보물섬<재>),5.1,2025.03.15
8,MBC,MBC뉴스데스크,5.1,2025.03.15
10,KBS1,시니어토크쇼황금연못,4.8,2025.03.15
11,KBS2,불후의명곡,4.6,2025.03.15
12,KBS1,KBS뉴스(09:30),4.5,2025.03.15
13,MBC,놀면뭐하니,4.1,2025.03.15
14,KBS1,특파원보고세계는지금,4.0,2025.03.15
15,KBS1,KBS뉴스광장2부,3.8,2025.03.15
16,KBS1,남북의창,3.7,2025.03.15
17,KBS1,동행,3.6,2025.03.15
18,KBS1,KBS뉴스(19:00),3.4,2025.03.15
18,KBS1,걸어서세계속으로,3.4,2025.03.15
20,KBS1,숨터스페셜,3.2,2025.03.15
