1,SBS,금토드라마(지옥에서온판사),11.5,2024.10.18
2,KBS1,일일드라마(결혼하자맹꽁아),10.7,2024.10.18
3,KBS1,인간극장,7.6,2024.10.18
3,KBS2,일일드라마(스캔들),7.6,2024.10.18
5,KBS1,KBS9시뉴스,6.9,2024.10.18
6,MBC,MBC뉴스데스크,6.6,2024.10.18
7,KBS1,6시내고향,6.4,2024.10.18
8,MBC,나혼자산다,6.2,2024.10.18
9,MBC,일일드라마(용감무쌍용수정),6.1,2024.10.18
10,MBC,금토드라마(이토록친밀한배신자),5.8,2024.10.18
11,KBS1,아침마당,5.3,2024.10.18
12,KBS1,KBS뉴스7,5.2,2024.10.18
13,KBS1,KBS뉴스광장2부,4.9,2024.10.18
14,SBS,궁금한이야기Y,4.4,2024.10.18
15,SBS,SBS8뉴스,4.2,2024.10.18
16,KBS2,신상출시편스토랑,3.5,2024.10.18
17,KBS1,KBS뉴스930,3.4,2024.10.18
18,KBS1,SINCE1983추적60분,2.9,2024.10.18
19,KBS1,동물의왕국,2.8,2024.10.18
20,KBS1,KBS뉴스5,2.6,2024.10.18
