1,KBS1,일일드라마(결혼하자맹꽁아),12.6,2024.12.02
2,KBS1,인간극장,7.7,2024.12.02
3,KBS1,KBS9시뉴스,7.6,2024.12.02
4,KBS2,일일드라마(신데렐라게임),7.5,2024.12.02
5,KBS1,6시내고향,7.2,2024.12.02
6,MBC,MBC뉴스데스크,7.0,2024.12.02
7,KBS1,아침마당,6.3,2024.12.02
8,KBS1,우리말겨루기연말특집최강자전본선1차전,6.2,2024.12.02
9,MBC,푹쉬면다행이야,5.8,2024.12.02
10,MBC,일일드라마(친절한선주씨),5.5,2024.12.02
11,KBS1,가요무대,5.1,2024.12.02
12,KBS2,2TV생생정보,5.0,2024.12.02
13,KBS1,KBS뉴스광장2부,4.8,2024.12.02
14,KBS1,KBS뉴스930,4.7,2024.12.02
15,KBS1,KBS뉴스7,4.5,2024.12.02
16,SBS,동상이몽2너는내운명,4.4,2024.12.02
17,SBS,생활의달인,3.9,2024.12.02
18,MBC,오은영리포트결혼지옥,3.7,2024.12.02
19,KBS1,동물의왕국,3.6,2024.12.02
20,SBS,SBS8뉴스,3.5,2024.12.02
