1,KBS1,일일드라마(결혼하자맹꽁아),14.0,2025.01.13
2,KBS2,일일드라마(신데렐라게임),10.7,2025.01.13
3,MBC,MBC뉴스데스크,9.2,2025.01.13
4,KBS1,KBS9시뉴스,8.2,2025.01.13
5,KBS1,인간극장,8.0,2025.01.13
6,KBS1,6시내고향,7.2,2025.01.13
7,KBS1,아침마당,6.4,2025.01.13
8,KBS1,우리말겨루기,5.9,2025.01.13
9,MBC,일일드라마(친절한선주씨),5.8,2025.01.13
10,KBS1,KBS뉴스930,5.4,2025.01.13
11,KBS2,2TV생생정보,5.3,2025.01.13
12,MBC,푹쉬면다행이야,5.2,2025.01.13
13,KBS1,KBS뉴스광장2부,5.0,2025.01.13
14,KBS1,가요무대,4.9,2025.01.13
14,KBS1,KBS뉴스7,4.9,2025.01.13
16,SBS,동상이몽2너는내운명,4.3,2025.01.13
17,KBS1,동물의왕국<재>,3.7,2025.01.13
18,SBS,생활의달인,3.6,2025.01.13
19,KBS1,KBS뉴스5,3.5,2025.01.13
20,SBS,SBS8뉴스,3.1,2025.01.13
